Start time,End time,High frequency (Hz),Low frequency (Hz),GOES,Flare,"Notes (corona loop brightening, etc.)",Other notes
2023-7-23/14:08,2023-7-23/15:45,4000000,50000,T,T,Loop & Spot,
2023-7-24/17:36,2023-7-24/20:20,5000000,40000,T,F,Very obvious on the level 3 graph,
2023-7-26/15:17,2023-7-26/15:29,20000000,200000,T,T,Spot,
2023-7-26/17:06,2023-7-26/17:29,14000000,180000,T,F,,
2023-7-27/21:52,2023-7-27/21:56,20000000,600000,T,T,,
2023-7-27/22:31,2023-7-27/22:38,6000000,400000,T,T,Spot,
2023-7-28/01:45,2023-7-28/01:49,20000000,900000,T,T,Loop,
2023-8-2/20:25,2023-8-2/21:12,20000000,140000,T,T,Spot,
2023-8-5/00:40,2023-8-5/00:49,20000000,300000,T,T,Loop,
2023-8-5/01:21,2023-8-5/01:26,20000000,500000,T,T,Loop,
2023-8-5/03:06,2023-8-5/03:47,20000000,30000,T,T,Loop,
2023-8-5/04:45,2023-8-5/05:32,20000000,30000,F,,,
2023-8-5/05:22,2023-8-5/06:13,20000000,600000,T,T,Loop,
2023-8-5/07:03,2023-8-5/09:20,4000000,50000,T,,The solar image is not shown,
2023-8-5/16:12,2023-8-5/16:45,20000000,160000,T,T,Loop,
2023-8-5/21:56,2023-8-6/00:35,13000000,40000,T,T,Spot,
2023-8-6/06:50,2023-8-6/07:34,15000000,80000,T,,The solar image is not shown,
2023-8-6/07:44,2023-8-6/08:09,15000000,200000,T,,The solar image is not shown,
2023-8-6/10:07,2023-8-6/10:18,6000000,200000,T,T,Spot,
2023-8-6/11:56,2023-8-6/12:52,20000000,50000,F,,,
2023-8-6/13:47,2023-8-6/13:59,13000000,200000,T,T,Loop,
2023-8-6/16:00,2023-8-6/16:49,20000000,110000,T,T,Loop,
2023-8-6/18:26,2023-8-6/20:24,15000000,70000,T,T,Spot,
2023-8-6/22:34,2023-8-6/23:42,20000000,30000,T,T,Spot,
2023-8-7/04:34,2023-8-7/05:35,15000000,1500000,T,F,,
2023-8-7/08:19,2023-8-7/08:32,20000000,80000,T,F,,
2023-8-7/08:34,2023-8-7/10:20,11000000,30000,F,,,
2023-8-7/12:05,2023-8-7/12:08,10000000,200000,T,F,,
2023-8-7/12:11,2023-8-7/12:33,20000000,80000,F,,,
2023-8-7/12:33,2023-8-7/13:05,14000000,70000,T,F,,
2023-8-7/13:30,2023-8-7/13:53,9000000,80000,T,F,,
2023-8-7/14:16,2023-8-7/14:39,20000000,40000,F,,,
2023-8-7/14:34,2023-8-7/15:27,20000000,30000,T,F,,
2023-8-7/20:39,2023-8-8/00:09,7000000,40000,T,T,Spot,
2023-8-7/23:51,2023-8-8/00:16,20000000,600000,T,T,Spot,
2023-8-8/09:25,2023-8-8/09:54,20000000,130000,T,T,Spot,
2023-8-8/16:44,2023-8-8/16:59,20000000,250000,T,F,,
2023-8-8/16:54,2023-8-8/17:53,20000000,150000,T,F,,
2023-8-8/17:18,2023-8-8/17:34,20000000,250000,F,,,
2023-8-10/00:24,2023-8-10/01:06,12000000,170000,T,T,Spot,
2023-8-10/02:32,2023-8-10/03:27,20000000,8000,T,T,Spot,
2023-8-10/13:01,2023-8-10/13:47,4500000,170000,F,,,
2023-8-10/15:15,2023-8-10/15:40,20000000,270000,F,,,
2023-8-10/17:43,2023-8-10/17:52,13000000,300000,F,,,
2023-8-10/18:52,2023-8-10/19:28,7000000,120000,T,F,,
2023-8-10/21:42,2023-8-10/22:16,9000000,130000,F,,,
2023-8-10/22:23,2023-8-10/23:14,20000000,110000,T,T,Spot,
2023-8-11/01:24,2023-8-11/01:45,6000000,200000,T,F,,
2023-8-11/01:35,2023-8-11/02:06,6000000,120000,F,,,
2023-8-11/04:04,2023-8-11/04:17,5000000,300000,F,,,
2023-8-11/04:58,2023-8-11/05:12,20000000,300000,T,T,Spot,
2023-8-11/06:11,2023-8-11/06:27,6000000,300000,F,,,
2023-8-11/06:48,2023-8-11/07:13,20000000,100000,T,,The solar image is not shown,
2023-8-11/08:25,2023-8-11/09:56,10000000,40000,T,T,Spot,
2023-8-11/15:19,2023-8-11/15:27,10000000,450000,T,T,Spot,
2023-8-11/16:24,2023-8-11/16:31,20000000,1700000,F,,,
2023-8-11/21:26,2023-8-11/21:47,6000000,300000,F,,,
2023-8-11/23:04,2023-8-11/23:21,20000000,200000,T,T,Spot,
2023-8-12/08:00,2023-8-12/08:48,13000000,100000,F,,,
2023-8-12/08:25,2023-8-12/08:33,20000000,400000,F,,,
2023-8-12/09:00,2023-8-12/09:44,10000000,110000,F,,,
2023-8-12/15:43,2023-8-12/16:25,6000000,80000,F,,,
2023-8-13/03:24,2023-8-13/03:49,5000000,200000,F,,,
2023-8-13/04:50,2023-8-13/05:00,7000000,400000,F,,,
2023-8-13/04:58,2023-8-13/05:02,14000000,1000000,F,,,
2023-8-13/05:06,2023-8-13/05:14,2000000,400000,F,,,
2023-8-13/05:44,2023-8-13/05:49,7000000,1000000,F,,,
2023-8-13/06:25,2023-8-13/06:30,20000000,1000000,F,,,
2023-8-13/06:33,2023-8-13/06:37,20000000,1000000,F,,,
2023-8-13/07:39,2023-8-13/07:53,1500000,300000,F,,,
2023-8-13/08:55,2023-8-13/09:20,5000000,160000,F,,,
2023-8-13/10:21,2023-8-13/10:26,20000000,1000000,F,,,
2023-8-13/10:26,2023-8-13/10:30,20000000,1000000,F,,,
2023-8-13/10:34,2023-8-13/11:00,20000000,150000,T,T,Spot,
2023-8-13/11:33,2023-8-13/11:40,1200000,400000,F,,,
2023-8-13/13:15,2023-8-13/13:20,5000000,600000,F,,,
2023-8-13/16:14,2023-8-13/16:17,4000000,600000,F,,,
2023-8-13/16:19,2023-8-13/16:23,4000000,600000,F,,,
2023-8-13/23:41,2023-8-13/23:47,20000000,400000,F,,,
2023-8-14/01:14,2023-8-14/01:58,20000000,50000,F,,,
2023-8-14/10:32,2023-8-14/11:05,20000000,1000000,F,,,
2023-8-14/14:11,2023-8-14/15:13,1000000,100000,F,,,
2023-8-14/16:24,2023-8-14/16:41,20000000,300000,F,,,
2023-8-14/17:47,2023-8-14/17:58,4000000,400000,T,T,Loop & Spot,
2023-8-14/21:06,2023-8-14/21:36,3000000,140000,T,T,Spot,
2023-8-15/11:47,2023-8-15/12:00,12000000,200000,F,,,
2023-8-15/11:58,2023-8-15/12:37,11000000,200000,F,,,
2023-8-15/12:17,2023-8-15/12:30,3000000,200000,T,T,Loop,
2023-8-16/12:51,2023-8-16/13:17,5000000,170000,F,,,
2023-8-16/14:27,2023-8-16/14:36,20000000,400000,F,,,
2023-8-16/22:58,2023-8-16/23:03,20000000,1000000,F,,,
2023-8-16/23:02,2023-8-16/23:08,20000000,1000000,F,,,
2023-8-16/23:14,2023-8-16/23:30,5000000,300000,F,,,
2023-8-16/00:14,2023-8-16/00:45,7000000,200000,T,T,Spot,
2023-8-16/02:26,2023-8-16/03:03,8000000,150000,F,,,
2023-8-16/02:42,2023-8-16/03:39,20000000,150000,F,,,
2023-8-16/02:57,2023-8-16/03:00,20000000,1000000,T,T,Loop,
2023-8-16/03:01,2023-8-16/03:05,20000000,1000000,T,T,Loop,
2023-8-16/04:41,2023-8-16/04:46,20000000,1000000,F,,,
2023-8-16/04:46,2023-8-16/05:18,500000,120000,F,,,
2023-8-17/09:34,2023-8-17/09:43,5000000,500000,T,F,,
2023-8-17/10:26,2023-8-17/10:31,16000000,400000,F,,,
2023-8-17/10:35,2023-8-17/10:40,16000000,300000,F,,,
2023-8-17/11:21,2023-8-17/11:42,2000000,120000,T,T,Loop,
2023-8-17/12:13,2023-8-17/14:00,15000000,70000,T,T,Loop & Spot,
2023-8-17/14:15,2023-8-17/14:20,20000000,1000000,T,F,,
2023-8-17/14:58,2023-8-17/15:02,20000000,1000000,F,,,
2023-8-17/22:30,2023-8-17/22:42,20000000,300000,T,T,Loop & Spot,
2023-8-18/13:27,2023-8-18/14:40,20000000,50000,T,T,Spot,
2023-8-18/19:11,2023-8-18/20:39,12000000,40000,T,T,Spot,
